alkylated DNA	REACTION1
UDP-N-acetyl-D-galactosamine	REACTION23
beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-[core protein]	REACTION23
REACTION23	N-acetyl-D-galactosaminyl-(1->4)-beta-D-glucuronyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-[core protein]
REACTION23	UDP
S-adenosyl-L-methionine	REACTION24
[histone]-L-arginine	REACTION24
REACTION24	S-adenosyl-L-homocysteine
REACTION24	[histone]-Nomega-methyl-arginine
polypeptide	REACTION25
REACTION25	dipeptide
REACTION25	peptide
3-ureido-isobutyrate	REACTION26
REACTION26	(R)-3-amino-2-methylpropanoate
REACTION26	ammonium
2,3,4-saturated fatty acyl-[acp]	REACTION27
NADP+	REACTION27
REACTION27	trans-2-enoyl-[acyl-carrier protein]
REACTION27	NADPH
spermidine	REACTION28
S-adenosyl 3-(methylthio)propylamine	REACTION28
REACTION28	spermine
REACTION28	S-methyl-5'-thioadenosine
histamine	REACTION29
REACTION29	imidazole acetaldehyde
REACTION29	ammonium
ATP	REACTION30
REACTION30	cyclic-AMP
REACTION30	diphosphate
ATP	REACTION31
protein	REACTION31
REACTION31	ADP
REACTION31	phosphoprotein
RH	REACTION32
reduced [NADPH-hemoprotein reductase]	REACTION32
REACTION32	ROH
REACTION32	oxidized [NADPH-hemoprotein reductase]
N1-methyladenine	REACTION33
2-oxoglutarate	REACTION33
REACTION33	adenine
REACTION33	formaldehyde
REACTION33	succinate
geranylgeranyl diphosphate	REACTION34
[protein]-L-cysteine	REACTION34
REACTION34	[protein]-S-geranylgeranyl-L-cysteine
REACTION34	diphosphate
tRNA precursor with a 5' extension and a short 3' extension	REACTION35
REACTION35	tRNA precursor with a short 3' extension
REACTION35	single-stranded RNA
acetoacetyl-CoA	REACTION36
acetyl-CoA	REACTION36
REACTION36	(S)-3-hydroxy-3-methylglutaryl-CoA
REACTION36	coenzyme A
acetoacetyl-CoA[mitochondrial lumen]	REACTION37
acetyl-CoA[mitochondrial lumen]	REACTION37
REACTION37	(S)-3-hydroxy-3-methylglutaryl-CoA[mitochondrial lumen]
REACTION37	coenzyme A[mitochondrial lumen]
RNA-DNA hybrid	REACTION38
REACTION38	DNA
REACTION38	nucleoside 5'-monophosphate
hyaluronan	REACTION39
REACTION39	hyaluronate
dolichyl diphosphooligosaccharide	REACTION40
[protein]-L-asparagine	REACTION40
REACTION40	glycoprotein with the oligosaccharide chain attached by N-glycosyl linkage to protein L-asparagine
REACTION40	dolichyl diphosphate
(S)-methylmalonate-semialdehyde	REACTION41
coenzyme A	REACTION41
NAD+	REACTION41
REACTION41	propanoyl-CoA
REACTION41	hydrogen carbonate
REACTION41	NADH
5'-(N7-methyl 5'-triphosphoguanosine)-(purine-ribonucleotide)-[mRNA]	REACTION42
REACTION42	N7-methylguanosine 5'-diphosphate
REACTION42	5'-phosphopurine-[mRNA]
c-type cytochrome	REACTION43
REACTION43	heme c
REACTION43	apo c-type cytochrome
(S)-3-hydroxy-3-methylglutaryl-CoA	REACTION44
REACTION44	3-methylglutaconyl-CoA
glutathione	REACTION45
RX	REACTION45
REACTION45	glutathione-toxin conjugate
REACTION45	HX
ATP	REACTION46
protein	REACTION46
REACTION46	ADP
REACTION46	phosphoprotein
beta-nicotinate D-ribonucleotide	REACTION47
diphosphate	REACTION47
REACTION47	5-phospho-alpha-D-ribose 1-diphosphate
REACTION47	quinolinate
[protein] (L-serine/L-threonine) phosphate	REACTION48
REACTION48	[protein]-(L-serine/L-threonine)
REACTION48	phosphate
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION49
[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION49
REACTION49	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION49	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine
App-tRNAHis	REACTION50
GTP	REACTION50
REACTION50	pppGp-tRNAHis
REACTION50	AMP
long-chain fatty acid	REACTION51
ATP	REACTION51
coenzyme A	REACTION51
REACTION51	long-chain acyl-CoA
REACTION51	AMP
REACTION51	diphosphate
damaged DNA pyrimidine	REACTION52
REACTION52	DNA containing an apyrimidinic site
protein with incorrect disulfide bonds	REACTION53
REACTION53	protein with correct disulfide bonds
pyruvate	REACTION54
thiamin diphosphate	REACTION54
REACTION54	2-(alpha-hydroxyethyl)thiamine diphosphate
malonyl-[acp]	REACTION55
acetyl-[acp]	REACTION55
REACTION55	acetoacetyl-[acp]
REACTION55	holo-[acyl-carrier protein]
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate	REACTION56
REACTION56	1,2-diacyl-sn-glycerol
REACTION56	D-myo-inositol (1,4,5)-trisphosphate
androst-4-ene-3,17-dione	REACTION57
reduced flavoprotein	REACTION57
REACTION57	19-hydroxyandrostenedione
REACTION57	oxidized flavoprotein
methionol	REACTION58
NAD+	REACTION58
REACTION58	3-methylthiopropanal
REACTION58	NADH
[histone]-L-lysine	REACTION59
S-adenosyl-L-methionine	REACTION59
REACTION59	[histone] N6-methyl-L-lysine
REACTION59	S-adenosyl-L-homocysteine
[protein]-L-tyrosine	REACTION60
3'-phosphoadenylyl-sulfate	REACTION60
REACTION60	adenosine 3',5'-bisphosphate
REACTION60	protein L-tyrosine-O-sulfate
1-chloro-2,4-dinitrobenzene	REACTION61
glutathione	REACTION61
REACTION61	2,4-dinitrophenyl-S-glutathione
REACTION61	chloride
nucleoside triphosphate	REACTION62
RNA(n)	REACTION62
REACTION62	RNA(n+1)
REACTION62	diphosphate
ATP	REACTION63
protein	REACTION63
REACTION63	ADP
REACTION63	phosphoprotein
ATP	REACTION64
[protein]-L-tyrosine	REACTION64
REACTION64	ADP
REACTION64	[protein]-L-tyrosine phosphate
(9Z,12Z)-15,16-epoxyoctadeca-9,12-dienoate	REACTION65
REACTION65	(9Z,12Z)-15,16-dihydroxyoctadeca-9,12-dienoate
phosphatidylcholine	REACTION66
REACTION66	1,2-diacyl-sn-glycerol 3-phosphate
REACTION66	choline
dehydrospermidine	REACTION67
[deoxyhypusine synthase]-L-lysine	REACTION67
REACTION67	[deoxyhypusine synthase]-N-(4-aminobutylidene)-lysine
REACTION67	propane-1,3-diamine
ATP	REACTION68
protein	REACTION68
REACTION68	ADP
REACTION68	phosphoprotein
3-oxo-3-phenylpropanoyl-CoA	REACTION69
coenzyme A	REACTION69
REACTION69	benzoyl-CoA
REACTION69	acetyl-CoA
3',5'-diiodothyronine	REACTION70
unknown reduced electron acceptor	REACTION70
REACTION70	3'-monoiodothyronine
REACTION70	iodide
REACTION70	unknown oxidized electron acceptor
(S)-3-hydroxy-3-methylglutaryl-CoA	REACTION71
REACTION71	acetoacetate
REACTION71	acetyl-CoA
progesterone	REACTION72
NADPH	REACTION72
REACTION72	17-alpha-hydroxyprogesterone
REACTION72	NADP+
NADH	REACTION73
ubiquinone[inner membrane]	REACTION73
REACTION73	NAD+
REACTION73	ubiquinol[inner membrane]
D-ribose 5-phosphate	REACTION74
ATP	REACTION74
REACTION74	5-phospho-alpha-D-ribose 1-diphosphate
REACTION74	AMP
UDP-alpha-D-glucose	REACTION75
REACTION75	UDP-alpha-D-galactose
palmitate	REACTION76
ATP	REACTION76
coenzyme A	REACTION76
REACTION76	palmitoyl-CoA
REACTION76	AMP
REACTION76	diphosphate
L-lysine	REACTION77
tRNAlys	REACTION77
ATP	REACTION77
REACTION77	L-lysyl-[tRNAlys]
REACTION77	AMP
REACTION77	diphosphate
phosphate monoester	REACTION78
REACTION78	alcohol
REACTION78	phosphate
ATP	REACTION79
[protein]-L-tyrosine	REACTION79
REACTION79	ADP
REACTION79	[protein]-L-tyrosine phosphate
N3-methylcytosine	REACTION80
2-oxoglutarate	REACTION80
REACTION80	cytosine
REACTION80	formaldehyde
REACTION80	succinate
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION81
[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION81
REACTION81	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION81	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine
folate	REACTION82
REACTION82	pteroate
REACTION82	glutamate
ATP	REACTION83
mitogen-activated protein kinase kinase	REACTION83
REACTION83	ADP
REACTION83	phosphorylated mitogen-activated protein kinase kinase
dietary all-trans-retinyl ester	REACTION84
REACTION84	all-trans-retinol
REACTION84	long-chain fatty acid
[phosphatase 2A protein] C-terminal L-leucine methyl ester	REACTION85
REACTION85	[phosphatase 2A protein] C-terminal L-leucine
REACTION85	methanol
ferrocytochrome b5	REACTION86
stearoyl-CoA	REACTION86
REACTION86	ferricytochrome b5
REACTION86	oleoyl-CoA
alpha-D-mannose 1-phosphate	REACTION87
GDP	REACTION87
REACTION87	GDP-alpha-D-mannose
REACTION87	phosphate
ubiquinone	REACTION88
e-	REACTION88
REACTION88	ubiquinol
D-threo-isocitrate[mitochondrial lumen]	REACTION89
NAD+[mitochondrial lumen]	REACTION89
REACTION89	2-oxoglutarate[mitochondrial lumen]
REACTION89	NADH[mitochondrial lumen]
(2E,6E)-farnesyl diphosphate	REACTION90
isopentenyl diphosphate	REACTION90
REACTION90	all-trans-decaprenyl diphosphate
REACTION90	diphosphate
2-monoglyceride	REACTION91
REACTION91	glycerol
REACTION91	fatty acid
phosphatidylcholine	REACTION92
REACTION92	1,2-diacyl-sn-glycerol 3-phosphate
REACTION92	choline
ADP-D-ribosyl(n)-acceptor	REACTION93
NAD+	REACTION93
REACTION93	ADP-D-ribosyl(n+1)-acceptor
REACTION93	nicotinamide
[protein]-L-aspartate	REACTION94
2-oxoglutarate	REACTION94
REACTION94	succinate
REACTION94	[protein]-3-hydroxy-L-aspartate
polypeptide	REACTION95
REACTION95	polypeptide
UDP-N-acetyl-alpha-D-galactosamine	REACTION96
[glycoprotein]-(L-serine/L-threonine)	REACTION96
REACTION96	N-acetyl-alpha-D-galactosalaminyl-[glycoprotein]
REACTION96	UDP
ATP	REACTION97
alpha-linolenate	REACTION97
coenzyme A	REACTION97
REACTION97	alpha-linolenoyl-CoA
REACTION97	AMP
REACTION97	diphosphate
ATP	REACTION98
protein	REACTION98
REACTION98	ADP
REACTION98	phosphoprotein
polycistronic tRNA precursor	REACTION99
REACTION99	tRNA precursor with a 5' extension and a short 3' extension
REACTION99	partially processed polycistronic tRNA precursor
11-cis-retinol-[retinal-binding protein]	REACTION100
NAD+	REACTION100
REACTION100	11-cis-retinal-[retinal-binding protein]
REACTION100	NADH
protein	REACTION101
REACTION101	peptide
REACTION101	peptide
sialyloligosaccharide	REACTION102
REACTION102	oligosaccharide
REACTION102	N-acetylneuraminate
RNase G degradation substrate mRNA	REACTION103
REACTION103	single-stranded RNA
NADH	REACTION104
unknown oxidized electron acceptor	REACTION104
REACTION104	NAD+
REACTION104	unknown reduced electron acceptor
dodecanoyl-[acp]	REACTION105
NADP+	REACTION105
REACTION105	trans dodec-2-enoyl-[acp]
REACTION105	NADPH
decanoyl-CoA	REACTION106
REACTION106	decanoate
REACTION106	coenzyme A
negatively supercoiled DNA	REACTION107
REACTION107	relaxed DNA
UDP-N-acetyl-alpha-D-galactosamine	REACTION108
[glycoprotein]-(L-serine/L-threonine)	REACTION108
REACTION108	N-acetyl-alpha-D-galactosalaminyl-[glycoprotein]
REACTION108	UDP
dGDP	REACTION109
oxidized thioredoxin	REACTION109
REACTION109	GDP
REACTION109	reduced thioredoxin
2-methyl branched 2,3,4-saturated fatty aldehyde	REACTION110
NAD+	REACTION110
REACTION110	2-methyl branched 2,3,4-saturated fatty acid
REACTION110	NADH
[protein] (L-serine/L-threonine) phosphate	REACTION111
REACTION111	[protein]-(L-serine/L-threonine)
REACTION111	phosphate
tRNA precursor with a 5' extension and a short 3' extension	REACTION112
phosphate	REACTION112
REACTION112	tRNA precursor with a 5' extension
REACTION112	ribonucleoside diphosphate
GDP-beta-L-fucose	REACTION113
N4-{N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,3)-[N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,6)]-beta-D-mannosyl-(1,4)-N-acetyl-beta-D-glucosaminyl-(1,4)-N-acetyl-beta-D-glucosaminyl}-protein-L-asparagine	REACTION113
REACTION113	N(4)-{N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,3)-[N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,6)]-beta-D-mannosyl-(1,4)-N-acetyl-beta-D-glucosaminyl-(1,4)-[alpha-L-fucosyl-(1,3)]-N-acetyl-beta-D-glucosaminyl}asparagine
REACTION113	GDP
dTDP	REACTION114
ATP	REACTION114
REACTION114	dTTP
REACTION114	ADP
all-trans retinol-[cellular-retinol-binding-protein]	REACTION115
NAD+	REACTION115
REACTION115	all-trans retinal-[cellular-retinol-binding-protein]
REACTION115	NADH
protein	REACTION116
REACTION116	peptide
REACTION116	peptide
UDP-alpha-D-galactose	REACTION117
[procollagen]-5-hydroxy-L-lysine	REACTION117
REACTION117	procollagen 5-(galactosyloxy)-L-lysine
REACTION117	UDP
[heparan sulfate]-alpha-N-acetyl-D-glucosamine 6-O-sulfate	REACTION118
REACTION118	[heparan]-N-acetyl-alpha-D-glucosamine
REACTION118	sulfate
(1->4)-beta-D-xylan oligosaccharide	REACTION119
REACTION119	beta-D-xylopyranose
myristoyl-CoA	REACTION120
REACTION120	myristate
REACTION120	coenzyme A
sialyloligosaccharide	REACTION121
REACTION121	oligosaccharide
REACTION121	N-acetylneuraminate
pyridoxamine 5'-phosphate	REACTION122
REACTION122	ammonium
REACTION122	pyridoxal 5'-phosphate
phenylethanolamine	REACTION123
S-adenosyl-L-methionine	REACTION123
REACTION123	S-adenosyl-L-homocysteine
REACTION123	N-methylphenylethanolamine
[protein]-(L-serine/L-threonine)	REACTION124
ATP	REACTION124
REACTION124	[protein] (L-serine/L-threonine) phosphate
REACTION124	ADP
dinucleotide (nucleic acid)	REACTION125
REACTION125	nucleoside 5'-monophosphate
NADH[mitochondrial lumen]	REACTION126
ubiquinone[mitochondrial inner membrane]	REACTION126
REACTION126	NAD+[mitochondrial lumen]
REACTION126	ubiquinol[mitochondrial inner membrane]
ubiquitin C-terminal thioester	REACTION127
REACTION127	ubiquitin
REACTION127	thiol
ferrihemoglobin	REACTION128
NADH	REACTION128
REACTION128	ferrohemoglobin
REACTION128	NAD+
ATP	REACTION129
[protein]-L-tyrosine	REACTION129
REACTION129	ADP
REACTION129	[protein]-L-tyrosine phosphate
UDP-N-acetyl-alpha-D-glucosamine	REACTION130
REACTION130	N-acetyl-alpha-D-mannosamine
REACTION130	UDP
NADH	REACTION131
REACTION131	(R)-NADHX
protein	REACTION132
REACTION132	peptide
REACTION132	peptide
peptidoglycan	REACTION133
REACTION133	N-acetylmuramoyl-pentapeptide-diphosphoundecaprenol
REACTION133	N-acetyl-D-glucosamine
RNase II poly-A substrate mRNA	REACTION134
REACTION134	RNase II substrate with no poly-A tail
REACTION134	AMP
choline	REACTION135
unknown oxidized electron acceptor	REACTION135
REACTION135	betaine aldehyde
REACTION135	unknown reduced electron acceptor
butyryl-[acp]	REACTION136
malonyl-CoA	REACTION136
REACTION136	3-oxo-hexanoyl-[acp]
REACTION136	coenzyme A
[protein]-(L-serine/L-threonine)	REACTION137
ATP	REACTION137
REACTION137	[protein] (L-serine/L-threonine) phosphate
REACTION137	ADP
ATP	REACTION138
protein	REACTION138
REACTION138	ADP
REACTION138	phosphoprotein
glycyl-peptide	REACTION139
myristoyl-CoA	REACTION139
REACTION139	N-tetradecanoylglycyl-peptide
REACTION139	coenzyme A
dolichyl diphosphate	REACTION140
REACTION140	dolichyl phosphate
REACTION140	phosphate
aldehyde	REACTION141
NAD+	REACTION141
REACTION141	carboxylate
REACTION141	NADH
D-glucopyranose 6-phosphate	REACTION142
REACTION142	beta-D-fructofuranose 6-phosphate
2-[(3S)-3-amino-3-carboxypropyl]-L-histidine-[translation elongation factor 2]	REACTION143
S-adenosyl-L-methionine	REACTION143
REACTION143	2-[(3S)-3-carboxy-3-(methylammonio)propyl]-L-histidine-[translation elongation factor 2]
REACTION143	S-adenosyl-L-homocysteine
4,4-dimethylzymosterol	REACTION144
NAD(P)H	REACTION144
REACTION144	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol
REACTION144	NAD(P)+
ATP	REACTION145
protein	REACTION145
REACTION145	ADP
REACTION145	phosphoprotein
beta-D-glucose	REACTION146
ATP	REACTION146
REACTION146	beta-D-glucose 6-phosphate
REACTION146	ADP
ditrans,polycis-dolichol	REACTION147
NADP+	REACTION147
REACTION147	di-trans, poly-cis-polyprenol
REACTION147	NADPH
cis-aconitate	REACTION148
REACTION148	D-threo-isocitrate
cis-aconitate[mitochondrial lumen]	REACTION149
REACTION149	D-threo-isocitrate[mitochondrial lumen]
ferricytochrome b5	REACTION150
NADH	REACTION150
REACTION150	ferrocytochrome b5
REACTION150	NAD+
1,2-dihydroxy-5-(methylthio)pent-1-en-3-one	REACTION151
REACTION151	2-oxo-4-methylthiobutanoate
REACTION151	formate
octanoyl-CoA	REACTION152
L-carnitine	REACTION152
REACTION152	L-octanoylcarnitine
REACTION152	coenzyme A
vitamin D3	REACTION153
NADPH	REACTION153
REACTION153	calcidiol
REACTION153	NADP+
linoleate	REACTION154
ATP	REACTION154
coenzyme A	REACTION154
REACTION154	linoleoyl-CoA
REACTION154	AMP
REACTION154	diphosphate
carbonic acid	REACTION155
(S)-nicotine	REACTION156
oxidized flavoprotein	REACTION156
REACTION156	nicotine-delta1'5'-iminium ion
REACTION156	reduced flavoprotein
tRNAile	REACTION157
L-isoleucine	REACTION157
ATP	REACTION157
REACTION157	L-isoleucyl-[tRNAile]
REACTION157	AMP
REACTION157	diphosphate
(R)-adrenaline	REACTION158
REACTION158	3,4-dihydroxyphenylglycolaldehyde
REACTION158	methylamine
pyrophosphate-containing inositol phosphate	REACTION159
REACTION159	myo-inositol-polyphosphate
REACTION159	phosphate
arachidonate	REACTION160
REACTION160	leukotriene A4
double stranded DNA	REACTION161
REACTION161	5'-phosphooligonucleotide
REACTION161	5' phosphodinucleotide
choloyl-CoA	REACTION162
NAD(P)+	REACTION162
REACTION162	3-oxo-cholyl-CoA
REACTION162	NAD(P)H
GTP	REACTION163
REACTION163	GDP
REACTION163	phosphate
protein	REACTION164
REACTION164	peptide
REACTION164	peptide
ATP	REACTION165
1,2-diacyl-sn-glycerol	REACTION165
REACTION165	1,2-diacyl-sn-glycerol 3-phosphate
REACTION165	ADP
NAD+	REACTION166
e-	REACTION166
REACTION166	NADH
NADH[mitochondrial lumen]	REACTION167
ubiquinone[mitochondrial inner membrane]	REACTION167
REACTION167	NAD+[mitochondrial lumen]
REACTION167	ubiquinol[mitochondrial inner membrane]
2,3,4-saturated fatty acyl CoA[peroxisomal lumen]	REACTION168
acetyl-CoA[peroxisomal lumen]	REACTION168
REACTION168	3-oxoacyl-CoA[peroxisomal lumen]
REACTION168	coenzyme A[peroxisomal lumen]
2,3,4-saturated fatty acyl CoA[mitochondrial lumen]	REACTION169
acetyl-CoA[mitochondrial lumen]	REACTION169
REACTION169	3-oxoacyl-CoA[mitochondrial lumen]
REACTION169	coenzyme A[mitochondrial lumen]
ATP	REACTION170
[a DNA-directed RNA-polymerase]	REACTION170
REACTION170	ADP
REACTION170	phospho-[DNA-directed RNA-polymerase]
N-sulfo-D-glucosamine	REACTION171
REACTION171	D-glucosamine
REACTION171	sulfate
1D-myo-inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate	REACTION172
ATP	REACTION172
REACTION172	1D-myo-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate
REACTION172	ADP
alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-(1->3)-N-acetyl-D-galactosaminyl-R	REACTION173
CMP-N-acetyl-beta-neuraminate	REACTION173
REACTION173	alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-(1->3)-[(alpha-N-acetylneuraminyl-(2->6)]-N-acetyl-D-galactosaminyl-R
REACTION173	CMP
7-[(3S)-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe	REACTION174
2-oxoglutarate	REACTION174
REACTION174	7-(2-hydroxy-3-amino-3-carboxypropyl)-wyosine37 in tRNAPhe
REACTION174	succinate
[histone]-L-lysine	REACTION175
acetyl-CoA	REACTION175
REACTION175	[histone]-N6-acetyl-L-lysine
REACTION175	coenzyme A
O-sialoglycoprotein	REACTION176
REACTION176	peptide
ATP	REACTION177
protein	REACTION177
REACTION177	ADP
REACTION177	phosphoprotein
5-alpha-pregnane-3,20-dione	REACTION178
NADP+	REACTION178
REACTION178	progesterone
REACTION178	NADPH
UDP-alpha-D-galactose	REACTION179
N-acetyl-beta-D-galactosyl-(1,4)-[N-acetyl-beta-D-glucosyl-(1,6)]-N-acetyl-beta-D-glucosaminyl-(1,3)-beta-D-galactosyl-(1,4)-N-acetyl-beta-D-glucosaminyl-R	REACTION179
REACTION179	I antigen
REACTION179	UDP
[pyruvate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine[mitochondrial lumen]	REACTION180
NAD+[mitochondrial lumen]	REACTION180
REACTION180	[pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine[mitochondrial lumen]
REACTION180	NADH[mitochondrial lumen]
dGDP	REACTION181
ATP	REACTION181
REACTION181	dGTP
REACTION181	ADP
2-cis,6-trans,10-trans-geranylgeranyl diphosphate	REACTION182
REACTION182	15-cis-phytoene
REACTION182	diphosphate
RNA	REACTION183
REACTION183	ribonucleoside 3'-phosphate
REACTION183	3' phosphooligonucleotide
[apo BCAA dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine	REACTION184
NAD+	REACTION184
REACTION184	[apo BCAA dehydrogenase E2 protein] N6-lipoyl-L-lysine
REACTION184	NADH
Glc3Man9GlcNAc2	REACTION185
REACTION185	Glc2Man9GlcNAc2
REACTION185	D-glucopyranose
tRNAasn	REACTION186
L-asparagine	REACTION186
ATP	REACTION186
REACTION186	L-asparaginyl-[tRNAasn]
REACTION186	AMP
REACTION186	diphosphate
[protein]-(L-serine/L-threonine)	REACTION187
ATP	REACTION187
REACTION187	[protein] (L-serine/L-threonine) phosphate
REACTION187	ADP
mitochondrial preprotein including a mitochondrial targeting sequence	REACTION188
REACTION188	processed mitochondrial protein
REACTION188	peptide
D-galactosyl-N-acylsphingosine	REACTION189
REACTION189	sphingosine ceramide
REACTION189	beta-D-galactose
[protein]-(L-serine/L-threonine)	REACTION190
ATP	REACTION190
REACTION190	[protein] (L-serine/L-threonine) phosphate
REACTION190	ADP
NADH	REACTION191
ubiquinone[inner membrane]	REACTION191
REACTION191	NAD+
REACTION191	ubiquinol[inner membrane]
long-linear glucan	REACTION192
REACTION192	linear malto-oligosaccharide
oligopeptide	REACTION193
REACTION193	peptide
REACTION193	peptide
S-ubiquitinyl-[(E3-independent) E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION194
[protein]-L-lysine	REACTION194
REACTION194	N6-monoubiquitinyl-[protein]-L-lysine
REACTION194	[(E3-independent) E2 ubiquitin-conjugating enzyme]-L-cysteine
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION195
[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION195
REACTION195	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION195	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine
hyaluronan	REACTION196
REACTION196	hyaluronate
polycistronic tRNA precursor	REACTION197
REACTION197	tRNA precursor with a 5' extension and a long 3' trailer
REACTION197	partially processed polycistronic tRNA precursor
ATP	REACTION198
protein	REACTION198
REACTION198	ADP
REACTION198	phosphoprotein
oleamide	REACTION199
REACTION199	oleate
REACTION199	ammonium
ATP	REACTION200
[protein]-L-tyrosine	REACTION200
REACTION200	ADP
REACTION200	[protein]-L-tyrosine phosphate
oxidized c-type cytochrome	REACTION201
ubiquinol	REACTION201
REACTION201	reduced c-type cytochrome
REACTION201	ubiquinone
ADP-D-ribose	REACTION202
REACTION202	AMP
REACTION202	D-ribofuranose 5-phosphate
trans-1,2-dihydrobenzene-1,2-diol	REACTION203
NADP+	REACTION203
REACTION203	catechol
REACTION203	NADPH
pyridoxamine 5'-phosphate	REACTION204
REACTION204	pyridoxamine
REACTION204	phosphate
dolichyl beta-D-mannosyl phosphate	REACTION205
protein	REACTION205
REACTION205	dolichyl phosphate
REACTION205	[protein]-O-D-mannosyl-(L-serine/L-threonine)
NADH	REACTION206
ubiquinone[inner membrane]	REACTION206
REACTION206	NAD+
REACTION206	ubiquinol[inner membrane]
